Distâncias para a imagem MIT-10.jpg
Data: Mon Oct 31 11:57:05 BRST 2016

ex_esq-al_dir; 316.685
ex_dir-se; 195.704
en_dir-ch_esq; 326.028
ft_dir-ls; 435.121
en_dir-al_dir; 150.769
ch_dir-ex_esq; 440.174
ch_dir-ch_esq; 195.31
cph_dir-ls; 17.0
ex_dir-g; 217.578
ch_dir-al_dir; 155.708
en_dir-ex_esq; 264.189
en_dir-al_esq; 193.131
ch_dir-al_esq; 225.913
ft_dir-ch_esq; 498.499
g-ft_esq; 231.384
al_esq-ft_esq; 304.824
ex_dir-ft_dir; 94.746
ft_esq-cph_esq; 447.988
en_dir-sn; 200.19
g-gn; 643.013
g-al_esq; 262.166
gn-se; 556.443
al_esq-ch_esq; 142.573
g-ch_esq; 404.705
en_esq-sn; 198.938
g-al_dir; 266.34
en_dir-ft_esq; 312.007
cph_esq-sn; 93.997
ex_dir-ft_esq; 436.032
g-ex_esq; 221.179
ex_esq-sn; 282.146
ft_esq-en_esq; 197.543
ex_dir-ex_esq; 395.0
se-sn; 208.44
en_dir-se; 67.219
al_esq-al_dir; 130.035
ex_dir-sn; 279.332
ch_dir-ft_esq; 527.364
al_esq-ex_esq; 214.94
ex_dir-al_dir; 201.604
ch_dir-gn; 262.968
ex_dir-al_esq; 298.801
en_dir-cph_esq; 290.416
al_esq-sn; 68.69
ls-sn; 94.807
en_esq-al_dir; 201.51
ft_dir-ft_esq; 458.6
ex_dir-ls; 341.885
al_esq-se; 178.609
g-cph_esq; 389.0
cph_dir-se; 303.508
ls-al_esq; 151.836
g-se; 86.573
en_dir-cph_dir; 283.985
gn-ft_esq; 675.936
ls-al_dir; 143.0
cph_dir-sn; 99.531
cph_dir-ch_dir; 78.339
cph_dir-cph_esq; 34.015
ls-ex_esq; 364.802
cph_dir-en_esq; 298.366
se-ch_esq; 320.493
se-en_esq; 63.391
gn-cph_esq; 254.071
ft_dir-sn; 367.492
en_dir-ch_dir; 305.141
gn-al_esq; 390.483
cph_esq-ex_esq; 355.729
ex_dir-cph_dir; 333.401
ft_dir-al_esq; 378.071
gn-al_dir; 394.782
ex_dir-cph_esq; 351.821
en_dir-en_esq; 125.0
cph_dir-ch_esq; 119.269
ft_dir-ex_esq; 436.032
ft_dir-al_dir; 293.308
cph_esq-al_dir; 151.238
ex_esq-en_esq; 139.359
ft_dir-se; 241.075
ls-se; 301.992
gn-ex_esq; 581.19
ex_esq-ch_esq; 322.112
en_dir-g; 123.653
g-ls; 388.438
ft_dir-cph_dir; 427.224
ls-ft_esq; 456.216
ch_dir-en_esq; 347.111
ft_dir-cph_esq; 444.391
cph_dir-al_esq; 160.917
al_esq-en_esq; 150.552
sn-ch_esq; 131.035
ft_dir-en_esq; 304.433
cph_dir-ex_esq; 375.208
cph_dir-al_dir; 137.361
ch_dir-g; 421.994
cph_dir-gn; 258.118
ex_dir-en_dir; 131.381
en_dir-gn; 541.911
ch_dir-se; 339.27
ex_dir-gn; 582.886
g-sn; 295.013
ft_dir-g; 227.386
ch_dir-sn; 158.028
g-en_esq; 121.614
al_dir-ch_esq; 210.354
sn-al_dir; 83.213
ch_dir-cph_esq; 111.463
ft_esq-ch_esq; 416.833
se-cph_esq; 302.429
ls-cph_esq; 17.029
gn-en_esq; 540.409
en_esq-ch_esq; 291.409
cph_dir-ft_esq; 465.742
ls-gn; 256.035
en_dir-ls; 286.221
al_esq-cph_esq; 145.111
ex_dir-en_esq; 256.195
cph_esq-en_esq; 290.2
cph_dir-g; 389.618
ex_dir-ch_dir; 322.627
ft_esq-ex_esq; 94.746
gn-ch_esq; 259.326
cph_esq-ch_esq; 85.288
ex_dir-ch_esq; 410.05
gn-sn; 348.014
ft_esq-al_dir; 394.053
ch_dir-ls; 94.921
ls-en_esq; 293.338
ft_dir-ch_dir; 417.145
ft_dir-gn; 677.63
se-al_dir; 184.681
ft_esq-sn; 369.98
ft_dir-en_dir; 190.668
ft_esq-se; 244.851
ls-ch_esq; 102.313
se-ex_esq; 199.7
